ID,Director_id,DVDList_id
1,0000001,25047
2,0000001,72149
3,0000001,78374
4,0000002,9821
5,0000002,202991
6,0000002,178887
7,0000002,235341
8,0000003,25058
9,0000003,53487
10,0000003,89195
11,0000003,106683
12,0000003,157152
13,0000003,190698
14,0000003,57157
15,0000003,189367
16,0000003,83814
17,0000003,88742
18,0000003,153927
19,0000004,7674
20,0000005,16396
21,0000005,50446
22,0000006,4458
23,0000006,60031
24,0000006,106714
25,0000006,49899
26,0000006,153706
27,0000007,615
28,0000007,109992
29,0000008,14957
30,0000008,14958
31,0000008,18517
32,0000008,18518
33,0000008,18519
34,0000008,18520
35,0000008,19915
36,0000008,19916
37,0000008,19917
38,0000008,20061
39,0000008,21697
40,0000008,21698
41,0000008,21699
42,0000008,21700
43,0000008,24152
44,0000008,24322
45,0000008,24431
46,0000008,24432
47,0000008,25896
48,0000008,25964
49,0000008,28890
50,0000008,28923
51,0000008,30483
52,0000008,30554
53,0000008,30557
54,0000008,32732
55,0000008,32757
56,0000008,32759
57,0000008,32793
58,0000008,33133
59,0000008,33141
60,0000008,36541
61,0000008,38556
62,0000008,38598
63,0000008,39410
64,0000008,40033
65,0000008,40050
66,0000008,40057
67,0000008,40075
68,0000008,41142
69,0000008,41176
70,0000008,43383
71,0000008,43398
72,0000008,47673
73,0000008,47685
74,0000008,50268
75,0000008,53005
76,0000008,55439
77,0000008,59231
78,0000008,62137
79,0000008,62367
80,0000008,62800
81,0000008,64664
82,0000008,69059
83,0000008,79727
84,0000008,83233
85,0000008,83244
86,0000008,85450
87,0000008,92746
88,0000008,93105
89,0000008,97421
90,0000008,97502
91,0000008,102253
92,0000008,104249
93,0000008,110757
94,0000008,124433
95,0000008,137086
96,0000008,140801
97,0000008,144579
98,0000008,148853
99,0000008,196209
100,0000008,204380
101,0000008,211008
102,0000008,214607
103,0000008,9796
104,0000008,20599
105,0000008,57125
106,0000008,116217
107,0000008,71066
108,0000008,73672
109,0000008,78373
110,0000008,81593
111,0000008,84910
112,0000008,126029
113,0000008,94352
114,0000008,98421
